Funciones,Personas a cargo,Incentivos,UbicaciÃ³n,details,Idiomas,Info Otros Países,technologies,link,Experiencia,textos_limpios,company_name,FormaciÃ³n MÃ­nima,Nivel Profesional,+ Países,additional_info,date,job_name,Tipo contrato,Imprescindible Residir,CVs inscritos en el proceso,Ubicación,Número de puestos,Jornada,Formación Mínima,Salario,offer_id,Otras Provincias,tecnologias,textos_limpios,tecnologias
Ingenieros/Industria,,,,,,,"['SATCOM', 'telecomunicaciones']",https://www.tecnoempleo.com/ingeniero-sistemas-satcom-hibrido/satcom-telecomunicaciones/rf-d2f71ac502ba5353eb4f,Más de 5 años,Ingenieros/Industria,GMV,,Empleado,,,06/09/2024,Ingeniero/a de Sistemas de SATCOM,Indefinido,,5,Sevilla (Híbrido),5,Jornada completa,,,d2f71ac502ba5353eb4f,,"SATCOM, telecomunicaciones, Ingenieros/Industria",Ingenieros/Industria,"SATCOM, telecomunicaciones, Ingenieros/Industria"
Programador,,,,,,,"['C++', 'java']",https://www.tecnoempleo.com/ingeniero-sr-software-c-java-hibrido/c-java/rf-15a8107ab2d9a35ca24b,3 años,Programador,GMV,,Empleado,,,06/09/2024,Ingeniero/a SR de Software C++/ Java,Indefinido,,15,Madrid (Híbrido),,Jornada completa,,,15a8107ab2d9a35ca24b,,"C++, java, Programador",Programador,"C++, java, Programador"
Programador,,,,,,,"['sistemas', 'programacion']",https://www.tecnoempleo.com/tecnico-sistemas-con-programacion-hibrido/sistemas-programacion/rf-f70f1c76322fe3ad0b44,3 años,ProgramadorTécnico de Sistemas,Michael Page,,Empleado,,,06/09/2024,Técnico de Sistemas con programación,Indefinido,,18,Zaragoza (Híbrido),,Jornada completa,,,f70f1c76322fe3ad0b44,,"sistemas, programacion, Programador, Técnico de Sistemas",ProgramadorTécnico de Sistemas,"sistemas, programacion, Programador, Técnico de Sistemas"
Ingenieros/Industria,,,,,,,"['PLC', 'HMI']",https://www.tecnoempleo.com/programador-plc-valencia/plc-hmi/rf-dd8d1c697262d3b7ab48,3 años,Ingenieros/Industria,DANLUK ENGINEERING,,Empleado,,,06/09/2024,Programador PLC,Indefinido,,18,Valencia - España,,Jornada completa,,,dd8d1c697262d3b7ab48,,"PLC, HMI, Ingenieros/Industria",Ingenieros/Industria,"PLC, HMI, Ingenieros/Industria"
Responsable de Producto,,,,,,,"['agile', 'scrum']",https://www.tecnoempleo.com/product-owner-melon-team-remoto/agile-scrum/rf-23351652c262b3836146,3-5 años,Responsable de Producto,Semrush,,Empleado,,,06/09/2024,Product Owner (Melon Team),Indefinido,,34,100% En remoto,,Jornada completa,,,23351652c262b3836146,,"agile, scrum, Responsable de Producto",Responsable de Producto,"agile, scrum, Responsable de Producto"
Desarrollador Web,,,,,,,"['PHP', 'Symfony', 'Javascript']",https://www.tecnoempleo.com/desarrollador-fullstack-php-hibrido/php-symfony-javascript/rf-8a491110d28d23fceb4e,2 años,Desarrollador WebProgramador,HAYS,,Empleado,,,06/09/2024,Desarrollador fullstack PHP,Indefinido,,11,Asturias (Híbrido),,Jornada completa,,,8a491110d28d23fceb4e,,"PHP, Symfony, Javascript, Desarrollador Web, Programador",Desarrollador WebProgramador,"PHP, Symfony, Javascript, Desarrollador Web, Programador"
Jefe de Proyecto,,,,,,,"['agile', 'Java', 'SQL']",https://www.tecnoempleo.com/gestor-proyectos-it-software-hibrido/agile-java-sql-angular/rf-32e91d784276334e9d49,Más de 5 años,Jefe de Proyecto,Michael Page,,Empleado,,,06/09/2024,Gestor/a de Proyectos IT (Software),Indefinido,,18,Madrid (Híbrido),,Jornada completa,,45.000 € - 54.000 € Bruto/año,32e91d784276334e9d49,,"agile, Java, SQL, Angular, Jefe de Proyecto",Jefe de Proyecto,"agile, Java, SQL, Angular, Jefe de Proyecto"
Jefe de Proyecto,,,,,,,['CTO'],https://www.tecnoempleo.com/cto-transicion-tecnologica-barcelona/cto/rf-68d11c8f62a993493b4e,3-5 años,Jefe de Proyecto,Michael Page,,Empleado,,,06/09/2024,CTO transición tecnológica,Indefinido,,16,Barcelona - España,,Jornada completa,,,68d11c8f62a993493b4e,,"CTO, Jefe de Proyecto",Jefe de Proyecto,"CTO, Jefe de Proyecto"
Jefe de Proyecto,,,,,,,['data'],https://www.tecnoempleo.com/product-manager-gestion-del-dato-hibrido/data/rf-682518dda268b39d154b,3-5 años,Jefe de Proyecto,Michael Page,,Empleado,,,06/09/2024,Product Manager Gestión del dato,Indefinido,,14,Madrid (Híbrido),,Jornada completa,,45.000 € - 54.000 € Bruto/año,682518dda268b39d154b,,"data, Jefe de Proyecto",Jefe de Proyecto,"data, Jefe de Proyecto"
Programador,,,,,Inglés (Alto),,"['React Native', 'Astro', 'Node']",https://www.tecnoempleo.com/senior-software-engineer-with-english-hibrido/react-native-astro-node-aws-/rf-5faa106c42232337a442,Más de 5 años,Programador,Babel Profiles,,Empleado,,,06/09/2024,Senior Software Engineer with English,Indefinido,,5,Barcelona (Híbrido),,Jornada completa,,60.000 € - 76.000 € Bruto/año,5faa106c42232337a442,,"React Native, Astro, Node, AWS, GraphQL, TypeScript, Programador",Programador,"React Native, Astro, Node, AWS, GraphQL, TypeScript, Programador"
Electrónica,,,,,,,['electrónica'],https://www.tecnoempleo.com/responsable-tecnico-barcelona/electronica/rf-29a31cc3e2b7230aed48,3 años,Electrónica,Michael Page,,Empleado,,,06/09/2024,Responsable técnico,Indefinido,,10,Barcelona - España,,Jornada completa,,,29a31cc3e2b7230aed48,,"electronica, Electrónica",Electrónica,"electronica, Electrónica"
Marketing,,,,,,,"['marketing', 'SEO', 'SEM']",https://www.tecnoempleo.com/ecommerce-product-manager-hibrido/marketing-seo-sem/rf-a9541bf2e265134b1e44,3 años,MarketingSEO/Posicionamiento Web,Michael Page,,Empleado,,,06/09/2024,Ecommerce Product Manager,Indefinido,,5,Tarragona (Híbrido),,Jornada completa,,39.000 € - 72.000 € Bruto/año,a9541bf2e265134b1e44,,"marketing, SEO, SEM, Marketing, SEO/Posicionamiento Web",MarketingSEO/Posicionamiento Web,"marketing, SEO, SEM, Marketing, SEO/Posicionamiento Web"
Tester,,,,,,,"['QA', 'NoSQL']",https://www.tecnoempleo.com/qa-engineer-core-infrastructure-team-remoto/qa-nosql/rf-9f791c75c292f37fb64a,3 años,Tester,Semrush,,Empleado,,,06/09/2024,QA Engineer (Core Infrastructure Team),Indefinido,España,24,100% En remoto,,Jornada completa,,,9f791c75c292f37fb64a,,"QA, NoSQL, Tester",Tester,"QA, NoSQL, Tester"
Marketing,,,,,,,['Marketing'],https://www.tecnoempleo.com/brand-trade-marketing-specialist-barcelona/marketing/rf-9f5f182ee26b13183840,3-5 años,Marketing,Page Personnel,,Empleado,,,06/09/2024,Brand & Trade Marketing Specialist,Indefinido,,17,Barcelona - España,,Jornada completa,,,9f5f182ee26b13183840,,"Marketing, Marketing",Marketing,"Marketing, Marketing"
Ingenieros/Industria,,,,,,,"['PLC', 'SIEMENS', 'S7']",https://www.tecnoempleo.com/programador-robots-industriales-valencia/plc-siemens-s7/rf-e1571c63c2b6d3a9db4b,3 años,Ingenieros/IndustriaProgramador,STARTEN ROBOTICS SOLUTIONS,,Empleado,,,06/09/2024,Programador/a de robots industriales,Indefinido,,22,Valencia - España,,Jornada completa,,,e1571c63c2b6d3a9db4b,,"PLC, SIEMENS, S7, Ingenieros/Industria, Programador",Ingenieros/IndustriaProgramador,"PLC, SIEMENS, S7, Ingenieros/Industria, Programador"
Base de Datos/DBA,,,,,,,"['PostgreSQL', 'DBMS', 'SQL']",https://www.tecnoempleo.com/administrador-bbdd-presencial/postgresql-dbms-sql/rf-ff3a13cb5246036bad41,Más de 5 años,Base de Datos/DBA,Michael Page,,Empleado,,,06/09/2024,Administrador/a de BBDD,Indefinido,,16,Valencia (Presencial),,Jornada completa,,45.000 € - 60.000 € Bruto/año,ff3a13cb5246036bad41,,"PostgreSQL, DBMS, SQL, Base de Datos/DBA",Base de Datos/DBA,"PostgreSQL, DBMS, SQL, Base de Datos/DBA"
Marketing,,,,,,,"['SQL', 'Excel']",https://www.tecnoempleo.com/responsable-crm-lleida/sql-excel/rf-89b912dab272639d9f4a,2 años,Marketing,HAYS,,Empleado,,,06/09/2024,Responsable de CRM,Indefinido,,6,Lleida - España,,Jornada completa,,,89b912dab272639d9f4a,,"SQL, Excel, Marketing",Marketing,"SQL, Excel, Marketing"
Ingenieros/Industria,,,,,,,['Project Manager'],https://www.tecnoempleo.com/development-project-manager-madrid/project-manager/rf-9dd3149c120613703747,3 años,Ingenieros/IndustriaJefe de Proyecto,Michael Page,,Empleado,,,06/09/2024,Development Project Manager,Indefinido,,2,Madrid - España,,Jornada completa,,,9dd3149c120613703747,,"Project Manager, Ingenieros/Industria, Jefe de Proyecto",Ingenieros/IndustriaJefe de Proyecto,"Project Manager, Ingenieros/Industria, Jefe de Proyecto"
Marketing,,,,,,,['Marketing'],https://www.tecnoempleo.com/integrated-marketing-manager-barcelona/marketing/rf-97971a4a52eda3a80144,Más de 5 años,Marketing,Semrush,,Empleado,,,06/09/2024,Integrated Marketing Manager,Indefinido,,3,Barcelona - España,,Jornada completa,,,97971a4a52eda3a80144,,"Marketing, Marketing",Marketing,"Marketing, Marketing"
Ingenieros/Industria,,,,,,,['Solidworks'],https://www.tecnoempleo.com/delineante-solidworks-bizkaia/solidworks/rf-4b781b42427b635ca145,3 años,Ingenieros/Industria,HAYS,,Empleado,,,06/09/2024,Delineante Solidworks,Indefinido,,3,Bizkaia - España,,Jornada completa,,,4b781b42427b635ca145,,"Solidworks, Ingenieros/Industria",Ingenieros/Industria,"Solidworks, Ingenieros/Industria"
Ciberseguridad,,,,,,,"['Ciberseguridad', '2MFA', 'SIEM']",https://www.tecnoempleo.com/tecnico-ciberseguridad-h-m-hibrido/ciberseguridad-2mfa-siem-edr/rf-56481557d20dd3f64649,3-5 años,Ciberseguridad,Michael Page,,Empleado,,,06/09/2024,Técnico Ciberseguridad (h/m),Indefinido,,39,Bizkaia (Híbrido),,Jornada completa,,30.000 € - 42.000 € Bruto/año,56481557d20dd3f64649,,"Ciberseguridad, 2MFA, SIEM, EDR, Ciberseguridad",Ciberseguridad,"Ciberseguridad, 2MFA, SIEM, EDR, Ciberseguridad"
Ingenieros/Industria,,,,,,,"['ingeniería industrial', 'electrónica']",https://www.tecnoempleo.com/ingeniero-cualificacion-madrid/ingenieria-industrial-electronica-aeronauti/rf-98221fb69275b3ee6945,2 años,Ingenieros/Industria,KTI Key Talent Indicator,,Empleado,,,06/09/2024,Ingeniero/a de cualificación,Indefinido,,1,Madrid - España,,Jornada completa,,,98221fb69275b3ee6945,,"ingenieria industrial, electronica, aeronautica, Ingenieros/Industria",Ingenieros/Industria,"ingenieria industrial, electronica, aeronautica, Ingenieros/Industria"
Jefe de Equipo,,,,,,,"['Prince2', 'PMP', 'Scrum']",https://www.tecnoempleo.com/cto-empresa-software-presencial/prince2-pmp-scrum-itil/rf-001c10ae22c8b3113a4f,3-5 años,Jefe de EquipoJefe de Proyecto,Michael Page,,Empleado,,,06/09/2024,CTO empresa software,Indefinido,,20,Valencia (Presencial),,Jornada completa,,,001c10ae22c8b3113a4f,,"Prince2, PMP, Scrum, ITIL, Jefe de Equipo, Jefe de Proyecto",Jefe de EquipoJefe de Proyecto,"Prince2, PMP, Scrum, ITIL, Jefe de Equipo, Jefe de Proyecto"
Marketing,,,,,,,"['Google Analytics', 'Botify', 'Ahrefs']",https://www.tecnoempleo.com/digital-marketing-industrial-company-barcelona/google-analytics-botify-ahr/rf-c187105ea2fd234ff647,3 años,MarketingSEO/Posicionamiento Web,Michael Page,,Empleado,,,06/09/2024,Digital Marketing - Industrial Company,Indefinido,,11,Barcelona - España,,Jornada completa,,45.000 € - 48.000 € Bruto/año,c187105ea2fd234ff647,,"Google Analytics, Botify, Ahrefs, Marketing, SEO/Posicionamiento Web",MarketingSEO/Posicionamiento Web,"Google Analytics, Botify, Ahrefs, Marketing, SEO/Posicionamiento Web"
Ingenieros/Industria,,,,,,,['Ingeniería Industrial'],https://www.tecnoempleo.com/industrial-strategy-project-manager-madrid/ingenieria-industrial/rf-d2bd1a4fc295c39e6a45,Más de 5 años,Ingenieros/IndustriaJefe de Proyecto,HAYS,,Empleado,,,06/09/2024,Industrial Strategy Project Manager,Indefinido,,1,Madrid - España,,Jornada completa,,,d2bd1a4fc295c39e6a45,,"Ingenieria Industrial, Ingenieros/Industria, Jefe de Proyecto",Ingenieros/IndustriaJefe de Proyecto,"Ingenieria Industrial, Ingenieros/Industria, Jefe de Proyecto"
Jefe de Proyecto,,,,,,,"['AWS', 'Imperva', 'checkpoint']",https://www.tecnoempleo.com/project-manager-redes-cloud-madrid/aws-imperva-checkpoint-palo-alto-fortin/rf-b9b8130ea207232e7e4d,3-5 años,Jefe de ProyectoTécnico de Sistemas,Page Personnel,,Empleado,,,06/09/2024,Project Manager Redes y Cloud,Indefinido,,15,Madrid - España,,Jornada completa,,45.000 € - 45.000 € Bruto/año,b9b8130ea207232e7e4d,,"AWS, Imperva, checkpoint, palo alto, Fortinet, Jefe de Proyecto, Técnico de Sistemas",Jefe de ProyectoTécnico de Sistemas,"AWS, Imperva, checkpoint, palo alto, Fortinet, Jefe de Proyecto, Técnico de Sistemas"
Big Data,,,,,,,"['SQL', 'ETL', 'PowerBI']",https://www.tecnoempleo.com/data-engineer-experto-en-sql-etl-remoto/sql-etl-powerbi/rf-dd2918645219d3e0874d,3-5 años,Big Data,Michael Page,,Empleado,,,06/09/2024,Data Engineer experto en SQL y ETL,Indefinido,,54,100% En remoto,,Jornada completa,,39.000 € - 54.000 € Bruto/año,dd2918645219d3e0874d,,"SQL, ETL, PowerBI, Big Data",Big Data,"SQL, ETL, PowerBI, Big Data"
Técnico Hardware,,,,,,,['FPGA'],https://www.tecnoempleo.com/freelance-tecnico-fpgas-remoto/fpga/rf-a7fd14312223f3bd4448,3 años,Técnico Hardware,HAYS,,Empleado,,,06/09/2024,Freelance Técnico FPGAs,Freelance/Autónomo,España,3,100% En remoto,,Jornada completa,,,a7fd14312223f3bd4448,,"FPGA, Técnico Hardware",Técnico Hardware,"FPGA, Técnico Hardware"
Tester,,,,,,,"['Cucumber', 'Selenium']",https://www.tecnoempleo.com/quality-assurance-automation-engineer-remoto/cucumber-selenium/rf-591a1cbc12ce03c7e94a,2 años,Tester,Kodly,,Empleado,,,06/09/2024,Quality Assurance Automation Engineer,Indefinido,,22,100% En remoto,,Jornada completa,,,591a1cbc12ce03c7e94a,,"Cucumber, Selenium, Tester",Tester,"Cucumber, Selenium, Tester"
Programador,,,,,,,"['Net', 'Azure']",https://www.tecnoempleo.com/desarrollador-senior-net-azure-remoto/net-azure/rf-c5131aec92477364f245,3 años,Programador,Consultores IT 365,,Empleado,,,06/09/2024,Desarrollador Senior .NET Azure,Indefinido,,20,100% En remoto,,Jornada completa,,,c5131aec92477364f245,,"Net, Azure, Programador",Programador,"Net, Azure, Programador"
Jefe de Proyecto,,,,,,,['GRC'],https://www.tecnoempleo.com/grc-project-manager-wave-team-barcelona/grc/rf-061518b1c21593a79e47,3-5 años,Jefe de Proyecto,Semrush,,Empleado,,,06/09/2024,GRC Project Manager (WAVE Team),Indefinido,,4,Barcelona - España,,Jornada completa,,,061518b1c21593a79e47,,"GRC, Jefe de Proyecto",Jefe de Proyecto,"GRC, Jefe de Proyecto"
Tester,,,,,,,"['QA', 'SQL', 'Python']",https://www.tecnoempleo.com/qa-engineer-pistachio-team-remoto/qa-sql-python/rf-21691fb9126983d20548,3 años,Tester,Semrush,,Empleado,,,06/09/2024,QA Engineer (Pistachio Team),Indefinido,,34,100% En remoto,,Jornada completa,,,21691fb9126983d20548,,"QA, SQL, Python, Tester",Tester,"QA, SQL, Python, Tester"
Electrónica,,,,,,,"['C', 'C++']",https://www.tecnoempleo.com/desarrollador-firmware-plc-hibrido/c-c/rf-d13f1cfc6217e313d549,3 años,ElectrónicaProgramador,HAYS,,Empleado,,,06/09/2024,Desarrollador Firmware y PLC,Indefinido,,5,Gipuzkoa (Híbrido),,Jornada completa,,,d13f1cfc6217e313d549,,"C, C++, Electrónica, Programador",ElectrónicaProgramador,"C, C++, Electrónica, Programador"
Marketing,,,,,,,"['Marketing', 'SEO']",https://www.tecnoempleo.com/business-requirements-analyst-remoto/marketing-seo/rf-d35b16fda2b933660640,3 años,Marketing,Creaitor AG,,Empleado,,,06/09/2024,Business Requirements Analyst,Indefinido,,43,100% En remoto,,Jornada completa,,,d35b16fda2b933660640,,"Marketing, SEO, Marketing",Marketing,"Marketing, SEO, Marketing"
Jefe de Proyecto,,,,,,,['Transformación Digital'],https://www.tecnoempleo.com/responsable-transformacion-digital-hibrido/transformacion-digital/rf-7f5a16d8f21f132fe044,Más de 5 años,Jefe de Proyecto,Michael Page,,Empleado,,,06/09/2024,Responsable Transformación Digital,Indefinido,,7,Badajoz (Híbrido),,Jornada completa,,45.000 € - 60.000 € Bruto/año,7f5a16d8f21f132fe044,,"Transformacion Digital, Jefe de Proyecto",Jefe de Proyecto,"Transformacion Digital, Jefe de Proyecto"
Programador,,,,,Inglés (Alto),,"['Net', 'C#', 'RabbitMQ']",https://www.tecnoempleo.com/senior-net-developer-con-ingles-alto-hibrido/net-c-rabbitmq-signalr-postgr/rf-380b153a6210f3fa7d4b,Más de 5 años,Programador,Page Personnel,,Empleado,,,06/09/2024,Senior .Net Developer con inglés alto,Indefinido,,12,Madrid (Híbrido),,Jornada completa,,60.000 € - 60.000 € Bruto/año,380b153a6210f3fa7d4b,,"Net, C#, RabbitMQ, SignalR, Postgres, Programador",Programador,"Net, C#, RabbitMQ, SignalR, Postgres, Programador"
Analista,,,,,,,"['Power Query', 'Power BI']",https://www.tecnoempleo.com/reporting-analyst-barcelona/power-query-power-bi/rf-d821155752cff3153746,3-5 años,Analista,Michael Page,,Empleado,,,06/09/2024,Reporting Analyst,Indefinido,,32,Barcelona - España,,Jornada completa,,,d821155752cff3153746,,"Power Query, Power BI, Analista",Analista,"Power Query, Power BI, Analista"
Ingenieros/Industria,,,,,,,"['CAD', '3D']",https://www.tecnoempleo.com/ingeniero-tecnico-a-barcelona/cad-3d/rf-43501f750269032f0744,2 años,Ingenieros/Industria,Grao Tecnic,,Empleado,,,06/09/2024,Ingeniero/a Técnico/a,Indefinido,,13,Barcelona - España,,Jornada completa,,21.000 € - 24.000 € Bruto/año,43501f750269032f0744,,"CAD, 3D, Ingenieros/Industria",Ingenieros/Industria,"CAD, 3D, Ingenieros/Industria"
Consultor,,,,,,,"['Microsoft 365', 'Acronis', 'Windows Server']",https://www.tecnoempleo.com/consultor-tecnico-hibrido/microsoft-365-acronis-windows-server/rf-a5bd1fc352bca35a4a48,3-5 años,Consultor,DQS,,Empleado,,,06/09/2024,Consultor técnico,Indefinido,,20,Barcelona (Híbrido),,Jornada completa,,30.000 € - 36.000 € Bruto/año,a5bd1fc352bca35a4a48,,"Microsoft 365, Acronis, Windows Server, Consultor",Consultor,"Microsoft 365, Acronis, Windows Server, Consultor"
Electrónica,,,,,,,"['PLC', 'HPE', 'CISCO']",https://www.tecnoempleo.com/especialista-en-instalaciones-cpd-madrid/plc-hpe-cisco-aruba/rf-234e1975a22e038f0d4d,3 años,ElectrónicaTécnico Hardware,GMV,,Empleado,,,06/09/2024,Especialista en instalaciones CPD,Indefinido,,20,Madrid - España,,Jornada completa,,,234e1975a22e038f0d4d,,"PLC, HPE, CISCO, ARUBA, Electrónica, Técnico Hardware",ElectrónicaTécnico Hardware,"PLC, HPE, CISCO, ARUBA, Electrónica, Técnico Hardware"
Comercial,,,,,,,['Comercial'],https://www.tecnoempleo.com/comercial-it-cantabria/comercial/rf-632d1366524543a47240,3 años,Comercial,HAYS,,Empleado,,,06/09/2024,Comercial IT,Indefinido,,4,Cantabria - España,,Jornada completa,,,632d1366524543a47240,,"Comercial, Comercial",Comercial,"Comercial, Comercial"
Analista,,,,,,,"['data', 'SQL', 'Python']",https://www.tecnoempleo.com/data-analyst-retention-analytics-team-barcelona/data-sql-python-r/rf-4d7c12b9b254837ccb42,3 años,AnalistaBig Data,Semrush,,Empleado,,,06/09/2024,Data Analyst (Retention Analytics Team),Indefinido,,14,Barcelona - España,,Jornada completa,,,4d7c12b9b254837ccb42,,"data, SQL, Python, R, Analista, Big Data",AnalistaBig Data,"data, SQL, Python, R, Analista, Big Data"
Consultor,,,,,Inglés (Alto),,['dynamics'],https://www.tecnoempleo.com/consultor-dynamics-hibrido/dynamics/rf-00281dd242dd93ddc242,Más de 5 años,Consultor,Krell Consulting & Training,,Especialista,,,06/09/2024,Consultor de Dynamics,Indefinido,,9,Madrid (Híbrido),3,Jornada completa,Bachillerato/COU,,00281dd242dd93ddc242,"Madrid, Sevilla y Toledo","dynamics, Consultor",Consultor,"dynamics, Consultor"
Big Data,,,,,Inglés (Alto),,"['AWS', 'Snowflake', 'Python']",https://www.tecnoempleo.com/ingeniero-datos-aws-hibrido/aws-snowflake-python-sql-powerbi-agile/rf-c7001e2032eb53085845,3-5 años,Big Data,Tuyú Technology,,Empleado,,,06/09/2024,Ingeniero/a de datos AWS,Indefinido,España,0,Barcelona (Híbrido),,Jornada completa,FP2/Grado Superior,36.000 € - 39.000 € Bruto/año,c7001e2032eb53085845,,"AWS, Snowflake, Python, SQL, PowerBI, Agile, Big Data",Big Data,"AWS, Snowflake, Python, SQL, PowerBI, Agile, Big Data"
Ingenieros/Industria,,,,,Alemán (Alto),,"['Lean', 'Ingeniería']",https://www.tecnoempleo.com/ingeniero-procesos-mercedes-benz-lava/lean-ingenieria/rf-26011698921f73893541,3 años,Ingenieros/Industria,Michael Page,,Empleado,,,05/09/2024,Ingeniero de Procesos Mercedes-Benz,Indefinido,,5,Vitoria - Álava - España,,Jornada completa,,,26011698921f73893541,,"Lean, Ingenieria, Ingenieros/Industria",Ingenieros/Industria,"Lean, Ingenieria, Ingenieros/Industria"
Analista Programador,,,,,,,"['php', 'Symfony', 'ORM Doctrine']",https://www.tecnoempleo.com/programador-php-senior-remoto/php-symfony-orm-doctrine/rf-732415822262735e3942,Más de 5 años,Analista Programador,Krell Consulting & Training,,Empleado,,,05/09/2024,Programador PHP Senior,Indefinido,,136,100% En remoto,4,Jornada completa,Grado Medio,,732415822262735e3942,,"php, Symfony, ORM Doctrine, Analista Programador",Analista Programador,"php, Symfony, ORM Doctrine, Analista Programador"
Analista Programador,2,Variable,,,Inglés (Medio),,"['C', 'mircocontroladores', 'Firebase']",https://www.tecnoempleo.com/ingeniero-firmware-murcia/c-mircocontroladores-firebase-ble-linux/rf-53531a47d20983ff134a,3 años,Analista ProgramadorElectrónicaTécnico Software,Rointe,,Mando Intermedio,,,05/09/2024,Ingeniero de Firmware,Indefinido,Provincia Puesto,8,Santomera - Murcia - España,,Jornada completa,FP2/Grado Superior,,53531a47d20983ff134a,,"C, mircocontroladores, Firebase, BLE, Linux, Analista Programador, Electrónica, Técnico Software",Analista ProgramadorElectrónicaTécnico Software,"C, mircocontroladores, Firebase, BLE, Linux, Analista Programador, Electrónica, Técnico Software"
Analista Programador,,,,,,,"['PowerCenter', 'Oracle', 'Cloud']",https://www.tecnoempleo.com/especialista-powercenter-remoto/powercenter-oracle-cloud/rf-65251b98e215530b9e4d,3-5 años,Analista Programador,Krell Consulting & Training,,Empleado,,,05/09/2024,Especialista PowerCenter,Indefinido,,27,100% En remoto,,Jornada completa,Sin estudios,24.000 € - 33.000 € Bruto/año,65251b98e215530b9e4d,,"PowerCenter, Oracle, Cloud, Analista Programador",Analista Programador,"PowerCenter, Oracle, Cloud, Analista Programador"
Consultor,,,,,Inglés (Medio),,"['sap', 'SAP HCM']",https://www.tecnoempleo.com/sap-hcm-hibrido/sap-sap-hcm/rf-c37011a6324dd307764a,3 años,Consultor,Krell Consulting & Training,,Empleado,,,05/09/2024,SAP HCM,Indefinido,,17,Madrid (Híbrido),3,Jornada completa,Bachillerato/COU,,c37011a6324dd307764a,"Madrid, Sevilla y Toledo","sap, SAP HCM, Consultor",Consultor,"sap, SAP HCM, Consultor"
Administrador,,,,,,,"['jira', 'confluence', 'scriptrunner']",https://www.tecnoempleo.com/administrador-jira-madrid/jira-confluence-scriptrunner-groovy/rf-8d8619da928d5333934e,3-5 años,Administrador,Baoss,,Empleado,,,05/09/2024,Administrador Jira,Indefinido,,19,Madrid - España,,Jornada completa,"Otros títulos, certificaciones y carnets",,8d8619da928d5333934e,,"jira, confluence, scriptrunner, Groovy, Administrador",Administrador,"jira, confluence, scriptrunner, Groovy, Administrador"
Analista Programador,,,,,Inglés (Alto),,['radar'],https://www.tecnoempleo.com/ingeniero-sistemas-guerra-electronica-hibrido/radar/rf-b2381482a20a43d73849,2 años,Analista ProgramadorProgramadorTécnico Software,Krell Consulting & Training,,Especialista,,,05/09/2024,Ingeniero Sistemas Guerra Electrónica,Indefinido,Provincia Puesto,11,Madrid (Híbrido),,Jornada completa,Ingeniero Superior,30.000 € - 36.000 € Bruto/año,b2381482a20a43d73849,,"radar, Analista Programador, Programador, Técnico Software",Analista ProgramadorProgramadorTécnico Software,"radar, Analista Programador, Programador, Técnico Software"
Ingenieros/Industria,,,,,Español,,"['CCTV', 'Networking', 'TIC']",https://www.tecnoempleo.com/ingenieria-tecnica-industrial-o-telec-presencial/cctv-networking-tic-elect/rf-f6d81faf82093364f745,3 años,Ingenieros/Industria,AB Seguridad,,Empleado,,,05/09/2024,Ingeniería técnica Industrial o Telec.,Indefinido,,12,Barcelona (Presencial),,Jornada completa,Ingeniero Técnico,,f6d81faf82093364f745,,"CCTV, Networking, TIC, electronica, Ingenieros/Industria",Ingenieros/Industria,"CCTV, Networking, TIC, electronica, Ingenieros/Industria"
Consultor,2,KPI´s,,,Inglés (Alto),,"['Kotlin', 'Android', 'Swift Code']",https://www.tecnoempleo.com/it-product-manager-hibrido/kotlin-android-swift-code/rf-e50b16a2225493f55b40,3 años,ConsultorDesarrollador MóvilJefe de Proyecto,Rointe,,Mando Intermedio,,,05/09/2024,IT Product Manager,Indefinido,Provincia Puesto,21,Murcia (Híbrido),,Jornada completa,FP2/Grado Superior,,e50b16a2225493f55b40,,"Kotlin, Android, Swift Code, Consultor, Desarrollador Móvil, Jefe de Proyecto",ConsultorDesarrollador MóvilJefe de Proyecto,"Kotlin, Android, Swift Code, Consultor, Desarrollador Móvil, Jefe de Proyecto"
Arquitecto TIC,,,,,,,"['Oracle', 'SAP', 'Microsoft']",https://www.tecnoempleo.com/integration-architect-remoto/oracle-sap-microsoft/rf-be3b12ada24473f5b741,3-5 años,Arquitecto TIC,Krell Consulting & Training,,Empleado,,,05/09/2024,INTEGRATION ARCHITECT,Indefinido,,14,100% En remoto,,Jornada completa,Grado Medio,,be3b12ada24473f5b741,,"Oracle, SAP, Microsoft, Arquitecto TIC",Arquitecto TIC,"Oracle, SAP, Microsoft, Arquitecto TIC"
Arquitecto TIC,,,,,Español (Alto)| Inglés (Alto),,"['OAuth2', 'OpenID', 'SAML']",https://www.tecnoempleo.com/arquitecto-it-autenticacion-hibrido/oauth2-openid-saml-jwt-ciberseguridad-/rf-107e16f472754307354c,3-5 años,Arquitecto TIC,Grupo SIA,,Especialista,,,05/09/2024,Arquitecto IT Autenticación,Indefinido,España,6,Madrid (Híbrido),,Jornada completa,Ingeniero Superior,,107e16f472754307354c,,"OAuth2, OpenID, SAML, JWT, ciberseguridad, cism, tic, Arquitecto TIC",Arquitecto TIC,"OAuth2, OpenID, SAML, JWT, ciberseguridad, cism, tic, Arquitecto TIC"
